Year	winner	Surface	condition	Starters	PolePosition	Time	speed
1999	Charismatic	dirt	fast	19	16	123.2	36.52597403
2000	FusaichiPegasus	dirt	fast	19	15	121	37.19008264
2001	Monarchos	dirt	fast	17	16	119.97	37.50937734
2002	WarEmblem	dirt	fast	18	5	121.03	37.18086425
2003	FunnyCide	dirt	fast	16	5	121.32	37.09198813
2004	SmartyJones	dirt	sloppy	18	13	124.1	36.26107977
2005	Giacomo	dirt	fast	20	10	122.45	36.74969375
2006	Barbado	dirt	fast	20	8	121.36	37.07976269
2007	StreetSense	dirt	fast	20	7	122.17	36.83391995
2008	BigBrown	dirt	fast	20	20	121.82	36.93974717
2009	MindThatBird	dirt	sloppy	19	8	122.66	36.68677646
2010	SuperSaver	dirt	sloppy	20	4	124.45	36.15910004
2011	AnimalKingdom	dirt	fast	20	16	122.04	36.87315634
2012	I'llHaveAnother	dirt	fast	20	19	121.83	36.93671509
2013	Orb	dirt	sloppy	19	16	122.89	36.61811376
2014	CaliforniaChrome	dirt	fast	19	5	123.66	36.39010189
2015	AmericanPharoh	dirt	fast	18	18	123.02	36.57941798
2016	Nyquist	dirt	fast	20	13	121.31	37.09504575
2017	AlwaysDreaming	dirt	wetfast	20	5	123.98	36.2961768
2018	Justify	dirt	sloppy	20	7	124.2	36.2318841
							
