girl,age,num_people,jerib_cnt,sheep_cnt,treatment,test_score
0,10,6,1,15,1,83
0,9,9,1,0,1,88
0,9,6,0,0,1,78
0,7,7,1,7,1,69
0,8,7,1,7,1,90
0,8,15,0,4,1,81
0,8,15,0,0,1,62
0,7,6,1,0,1,77
0,8,6,1,0,1,80
0,10,10,1,10,1,82
0,11,10,1,10,1,93
0,10,10,1,10,1,76
0,8,8,1,0,1,85
0,6,8,1,0,1,93
0,8,13,1,20,1,84
0,10,14,0,0,1,94
0,7,10,0,5,1,76
0,8,8,0,0,1,74
0,6,9,3,11,1,79
0,10,9,3,11,1,86
0,10,8,2,0,1,95
0,8,8,2,0,1,69
0,6,8,2,0,1,71
0,8,7,0,0,1,69
0,11,7,0,0,1,93
0,10,9,1,5,1,90
0,7,9,1,5,1,87
0,11,8,0,6,1,93
0,8,11,0,0,1,84
0,10,11,0,0,1,93
0,9,4,2,0,1,80
0,10,13,0,0,1,86
0,8,13,0,0,1,87
0,11,7,1,6,1,93
0,8,6,2,10,1,74
0,10,12,1,3,1,71
0,10,10,1,7,1,62
0,7,10,1,7,1,61
0,9,16,0,9,1,96
0,8,16,0,9,1,93
0,8,16,0,9,1,81
0,6,16,0,9,1,61
0,7,12,0,10,1,80
0,6,8,0,10,1,96
0,11,8,0,10,1,97
0,7,7,0,2,1,79
0,10,7,0,2,1,96
0,7,6,0,5,1,78
0,11,8,0,8,1,77
0,7,14,1,7,1,75
0,11,8,1,8,1,74
0,7,8,1,8,1,89
0,7,6,0,10,1,60
0,10,9,0,5,1,93
0,10,8,0.5,2,1,80
0,9,6,1,3,1,83
0,6,8,1,3,1,65
0,10,8,1,3,1,95
0,10,3,0,6,1,97
0,11,11,0.5,20,1,95
0,7,11,0.5,20,1,93
0,7,6,0,0,1,80
0,11,6,0,0,1,83
0,6,4,0,4,1,57
0,9,10,0,20,1,86
0,8,8,0,30,1,75
0,8,7,0,60,1,94
0,7,7,0,60,1,94
0,10,7,0,60,1,97
0,10,12,0,30,1,97
0,7,12,0,30,1,75
0,7,7,0,9,1,89
0,7,13,1,10,1,81
0,11,9,0,9,1,82
0,7,17,0,15,1,87
0,7,17,0,15,1,86
0,10,17,0,15,1,87
0,9,16,1,15,1,83
0,7,13,0,150,1,89
0,8,5,1,50,1,95
0,9,8,1,20,1,94
0,11,8,0,0,1,97
0,8,8,0,0,1,90
0,7,8,0,0,1,75
0,9,8,5,60,1,95
0,11,8,5,60,1,94
0,6,8,5,60,1,92
0,7,9,2,7,1,95
0,6,10,0,10,1,70
0,7,10,0,10,1,94
0,8,9,4,60,1,97
0,10,9,0,0,1,93
0,8,9,2,11,1,84
0,10,9,2,11,1,76
0,7,9,2,11,1,77
0,7,7,0,0,1,60
0,7,7,0,0,1,64
0,7,10,0,4,1,90
0,9,10,0,4,1,82
0,8,5,0,0,1,90
0,11,4,0,0,1,81
0,10,11,3,6,1,79
0,8,11,3,6,1,77
0,7,8,1,10,1,64
0,7,13,3,30,1,78
0,11,9,1,0,1,79
0,6,9,1,0,1,57
0,10,5,0,4,1,73
0,9,4,0,0,1,84
0,8,13,3,7,1,63
0,8,8,1,0,1,74
0,11,8,1,0,1,90
0,9,8,1,0,1,80
0,7,7,0,0,1,74
0,10,6,1,4,1,93
0,8,8,5,10,1,58
0,10,7,1,0,1,69
0,6,5,2,0,1,61
0,9,9,0.5,0,1,71
0,9,8,1,0,1,85
0,7,17,4,5,1,67
0,6,6,0,0,1,75
0,8,6,0,0,1,91
0,11,12,2,0,1,95
