ParticipantID	HurricaneName	Rating	HurricaneGender	HurricaneAge
46	Kyle	4	male	young
46	Laura	4	female	old
46	Hanna	5.5	female	young
46	Marco	3	male	young
47	Arthur	5	male	old
47	Bertha	6	female	old
47	Cristobal	1	male	young
47	Dolly	5	female	old
47	Fay	6	female	old
47	Omar	4	male	young
47	Kyle	3.5	male	young
47	Laura	2	female	old
47	Hanna	3	female	young
47	Marco	4.5	male	young
48	Arthur	2	male	old
48	Bertha	7	female	old
48	Cristobal	7	male	young
48	Dolly	4	female	old
48	Fay	2	female	old
48	Omar	3	male	young
48	Kyle	3	male	young
48	Laura	4	female	old
48	Hanna	5	female	young
48	Marco	4	male	young
49	Arthur	2	male	old
49	Bertha	4	female	old
49	Cristobal	6	male	young
49	Dolly	7	female	old
49	Fay	1.5	female	old
49	Omar	2.5	male	young
49	Kyle	4.5	male	young
49	Laura	6	female	old
49	Hanna	2.5	female	young
49	Marco	2.5	male	young
50	Arthur	5	male	old
50	Bertha	4	female	old
50	Cristobal	7	male	young
50	Dolly	5	female	old
50	Fay	6	female	old
50	Omar	3	male	young
50	Kyle	1	male	young
50	Laura	6	female	old
50	Hanna	2	female	young
50	Marco	3.5	male	young
51	Arthur	2	male	old
51	Bertha	6	female	old
51	Cristobal	2	male	young
51	Dolly	4	female	old
51	Fay	4	female	old
51	Omar	7	male	young
51	Kyle	5	male	young
51	Laura	7	female	old
51	Hanna	5	female	young
51	Marco	7	male	young
52	Arthur	4	male	old
52	Bertha	4	female	old
52	Cristobal	3	male	young
52	Dolly	5	female	old
52	Fay	5	female	old
52	Omar	4	male	young
52	Kyle	5	male	young
52	Laura	4	female	old
52	Hanna	5	female	young
52	Marco	4	male	young
53	Arthur	6	male	old
53	Bertha	4	female	old
53	Cristobal	4	male	young
53	Dolly	3	female	old
53	Fay	6	female	old
53	Omar	4	male	young
53	Kyle	3	male	young
53	Laura	7	female	old
53	Hanna	5	female	young
53	Marco	5	male	young
54	Arthur	6	male	old
54	Bertha	6	female	old
54	Cristobal	5	male	young
54	Dolly	6	female	old
54	Fay	5	female	old
54	Omar	5	male	young
54	Kyle	5	male	young
54	Laura	6	female	old
54	Hanna	6.5	female	young
54	Marco	6	male	young
55	Arthur	1	male	old
55	Bertha	2	female	old
55	Cristobal	3	male	young
55	Dolly	3	female	old
55	Fay	5	female	old
55	Omar	2	male	young
55	Kyle	6	male	young
55	Laura	3	female	old
55	Hanna	4	female	young
55	Marco	3	male	young
56	Arthur	2	male	old
56	Bertha	3.5	female	old
56	Cristobal	5	male	young
56	Dolly	5.5	female	old
56	Fay	3	female	old
56	Omar	6	male	young
56	Kyle	6.5	male	young
56	Laura	6	female	old
56	Hanna	6.5	female	young
56	Marco	3	male	young
57	Arthur	5	male	old
57	Bertha	5.5	female	old
57	Cristobal	5.5	male	young
57	Dolly	5.5	female	old
57	Fay	6	female	old
57	Omar	3.5	male	young
57	Kyle	3	male	young
57	Laura	4	female	old
57	Hanna	3.5	female	young
57	Marco	5	male	young
58	Arthur	4	male	old
58	Bertha	2	female	old
58	Cristobal	3	male	young
58	Dolly	4.5	female	old
58	Fay	4	female	old
58	Omar	5	male	young
58	Kyle	2	male	young
58	Laura	4	female	old
58	Hanna	5	female	young
58	Marco	3	male	young
59	Arthur	1.5	male	old
59	Bertha	6.5	female	old
59	Cristobal	3.5	male	young
59	Dolly	2	female	old
59	Fay	4.5	female	old
59	Omar	3.5	male	young
59	Kyle	5.5	male	young
59	Laura	5	female	old
59	Hanna	3.5	female	young
59	Marco	5	male	young
60	Arthur	6	male	old
60	Bertha	6	female	old
60	Cristobal	6	male	young
60	Dolly	6	female	old
60	Fay	6	female	old
60	Omar	4.5	male	young
60	Kyle	5	male	young
60	Laura	6	female	old
60	Hanna	6	female	young
60	Marco	6	male	young
61	Arthur	5	male	old
61	Bertha	4	female	old
61	Cristobal	3	male	young
61	Dolly	7	female	old
61	Fay	6	female	old
61	Omar	1	male	young
61	Kyle	6	male	young
61	Laura	2	female	old
61	Hanna	3	female	young
61	Marco	5	male	young
62	Arthur	4	male	old
62	Bertha	5	female	old
62	Cristobal	3	male	young
62	Dolly	6	female	old
62	Fay	5	female	old
62	Omar	6	male	young
62	Kyle	5	male	young
62	Laura	5	female	old
62	Hanna	6	female	young
62	Marco	7	male	young
63	Arthur	2	male	old
63	Bertha	7	female	old
63	Cristobal	4	male	young
63	Dolly	2	female	old
63	Fay	5	female	old
63	Omar	6	male	young
63	Kyle	3	male	young
63	Laura	4	female	old
63	Hanna	4	female	young
63	Marco	5	male	young
64	Arthur	4	male	old
64	Bertha	5	female	old
64	Cristobal	4	male	young
64	Dolly	4	female	old
64	Fay	1	female	old
64	Omar	4	male	young
