HouseholdSize,Adults_D,H2O_Cost,Under17,Child1_D,Barcode_ID,Has_Barcode
2,0,0,0,NA,101185,Yes
4,0,0,0,NA,101210,Yes
4,0,0,3,0,101482,Yes
4,1,0,0,NA,101483,Yes
2,0,0,3,0,101492,Yes
2,0,0,4,0,101493,Yes
3,0,0,3,0,101501,Yes
3,0,0,2,0,101502,Yes
5,1,0,0,NA,101507,Yes
1,0,0,0,NA,101101484,No
3,0,0,1,0,101177,Yes
1,0,0,0,NA,101201,Yes
5,0,0,1,0,101480,Yes
5,0,0,1,0,101485,Yes
6,0,0,4,0,101488,Yes
3,0,0,2,0,101494,Yes
3,0,0,0,NA,101496,Yes
2,0,0,3,0,101498,Yes
5,0,0,2,0,101509,Yes
4,0,0,0,NA,101511,Yes
5,NA,50,1,NA,201652,No
2,NA,50,1,NA,201665,No
1,NA,NA,NA,NA,201671,No
3,NA,30,1,NA,201654,No
2,0,60,NA,NA,201651,No
6,0,20,1,0,63,No
4,0,0,NA,NA,64,No
5,2,20,3,NA,NA,No
2,2,15,0,NA,NA,No
4,2,20,5,NA,NA,No
3,2,20,2,NA,NA,No
2,2,20,2,NA,NA,No
3,2,20,0,NA,NA,No
5,2,25,3,NA,NA,No
5,2,20,1,NA,NA,No
2,2,20,0,NA,NA,No
9,2,20,4,NA,NA,No
4,2,20,0,NA,NA,No
6,2,20,6,NA,NA,No
4,2,20,10,NA,NA,No
3,0,0,0,NA,110153,Yes
2,0,0,1,0,110154,Yes
2,0,0,2,0,110155,Yes
3,0,0,4,0,110156,Yes
2,0,0,3,0,110157,Yes
3,0,0,4,0,110158,Yes
2,0,0,1,0,110159,Yes
2,0,0,2,0,110160,Yes
2,0,0,0,NA,110161,Yes
5,0,0,1,0,110163,Yes
2,0,0,6,0,110164,Yes
1,0,0,1,0,110165,Yes
2,0,0,3,0,110166,Yes
2,0,0,2,0,110167,Yes
5,0,0,1,0,110168,Yes
2,0,0,0,NA,110169,Yes
3,0,0,3,0,110170,Yes
1,0,0,1,0,110171,Yes
2,0,0,0,NA,110172,Yes
2,0,0,2,0,110173,Yes
5,0,0,2,0,110174,Yes
5,0,0,0,NA,110175,Yes
2,0,0,0,NA,110176,Yes
2,0,0,2,0,110177,Yes
4,0,0,2,0,110178,Yes
4,0,0,0,NA,110179,Yes
2,1,0,3,0,100168,Yes
2,1,32,1,4,100179,Yes
5,0,10,1,0,100186,Yes
4,0,10,3,0,100187,Yes
7,0,10,0,NA,100190,Yes
6,0,10,3,0,100224,Yes
5,0,10,2,0,100274,Yes
2,0,20,2,0,100282,Yes
6,0,20,0,NA,100283,Yes
2,0,10,3,0,100285,Yes
2,0,15,3,0,100293,Yes
3,0,10,11,0,100294,Yes
2,1,0,0,NA,100307,No
1,0,0,NA,NA,100159,Yes
3,2,14,2,0,100253,Yes
3,0,0,2,0,100275,Yes
3,1,0,0,NA,100323,Yes
3,1,0,0,NA,100163,Yes
2,0,0,0,NA,100164,Yes
3,0,0,1,0,100194,Yes
2,0,0,2,1,100232,Yes
2,2,10,0,NA,100255,Yes
2,0,0,2,0,100263,Yes
9,5,0,2,0,100265,Yes
5,0,15,1,0,100129,Yes
1,0,10,0,NA,100142,Yes
2,1,3,0,NA,100149,Yes
5,0,10,0,NA,100167,Yes
6,0,20,1,0,100170,Yes
2,0,20,4,0,100198,Yes
2,0,10,4,0,100209,Yes
4,0,10,3,0,100216,Yes
4,4,15,2,0,100220,Yes
3,0,10,3,0,100222,Yes
4,0,10,0,NA,100240,Yes
2,0,3,1,0,100268,Yes
6,1,10,1,0,100272,Yes
2,0,0,0,NA,100288,Yes
1,0,0,0,NA,100291,Yes
3,0,10,0,NA,100345,Yes
4,0,35,2,0,100346,Yes
3,0,10,0,NA,100351,Yes
2,0,10,0,NA,100352,Yes
5,0,15,0,NA,100998,No
3,0,20,2,14,100150,Yes
9,0,10,2,0,100206,Yes
6,1,15,1,2,100215,Yes
1,0,20,0,NA,100318,Yes
3,1,20,3,0,100325,Yes
4,0,12,0,NA,0,No
2,0,0,0,NA,100130,Yes
2,0,0,3,0,100157,Yes
3,3,0,0,NA,100169,Yes
4,0,0,5,3,100196,Yes
2,0,10,0,NA,100226,Yes
2,0,0,2,0,100228,Yes
3,0,0,3,0,100229,Yes
2,0,0,3,0,100230,Yes
2,0,0,0,NA,100231,Yes
1,NA,0,0,NA,100233,Yes
4,3,0,1,0,100256,Yes
2,0,40,2,0,100277,Yes
2,0,20,1,0,100306,Yes
7,0,140,4,0,100301,No
3,2,80,2,1,100304,No
4,0,0,0,NA,100135,Yes
8,0,70,1,0,100136,Yes
4,0,20,2,0,100137,Yes
3,0,0,0,NA,100141,Yes
6,0,0,0,NA,100161,Yes
3,0,40,1,0,100166,Yes
4,0,70,2,0,100171,Yes
2,0,70,0,NA,100172,Yes
3,0,70,0,NA,100173,Yes
2,0,50,1,0,100176,Yes
5,0,50,0,NA,100180,Yes
3,0,20,1,0,100183,Yes
2,0,70,3,0,100193,Yes
2,0,20,0,NA,100195,Yes
5,0,10,1,0,100202,Yes
4,0,10,2,7,100203,Yes
2,0,30,2,0,100207,Yes
4,0,0,1,3,100208,Yes
3,2,20,3,0,100225,Yes
3,0,20,0,NA,100259,Yes
5,0,0,1,0,100261,Yes
4,0,20,1,0,100266,Yes
2,1,70,2,0,100279,Yes
4,0,20,0,NA,100284,Yes
3,0,20,NA,NA,100286,Yes
3,2,18,1,0,100287,Yes
4,0,0,2,0,100299,Yes
3,0,20,1,4,100322,Yes
4,0,10,0,NA,100329,Yes
3,0,15,3,2,100339,Yes
2,0,20,0,NA,100340,Yes
1,1,10,0,NA,100341,Yes
3,0,40,2,0,100343,Yes
5,0,110,0,NA,100156,Yes
3,0,10,7,0,100178,Yes
3,0,10,0,NA,100181,Yes
6,0,10,0,NA,100182,Yes
2,0,15,NA,NA,100184,Yes
2,0,0,5,0,100185,Yes
5,0,10,2,0,100200,Yes
